epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2037,1.01917,4.0181,0.91848,0.00323,0.97619,0.33407,0.23346,0.84032,3.72379,0.85179,0.0002,0.0002,0.0002
2,33.1901,0.95664,2.55248,0.92697,0.00344,0.9881,0.39464,0.26173,0.75559,3.72557,0.85916,0.000410458,0.000410458,0.000410458
3,48.3802,0.89539,2.05854,0.9176,0.00278,0.80908,0.40067,0.29913,0.77847,3.77676,0.90988,0.000618813,0.000618813,0.000618813
4,63.9205,0.93499,1.88401,0.93235,1,0.75306,0.98641,0.79056,0.7861,3.36059,0.9357,0.000825063,0.000825063,0.000825063
5,80.6382,0.94778,1.5877,0.92326,1,0.45271,0.94412,0.7311,0.84773,2.89724,0.95026,0.00102921,0.00102921,0.00102921
6,98.9435,0.90407,1.53343,0.93111,0.98343,0.90239,0.967,0.73856,0.91215,2.27707,0.99675,0.00121906,0.00121906,0.00121906
7,118.144,0.88981,1.32596,0.92441,0.92978,0.97747,0.98339,0.76197,0.84156,1.68594,0.95658,0.00121287,0.00121287,0.00121287
8,135.661,0.81455,1.21353,0.91684,0.91301,0.92182,0.99111,0.74934,0.88128,1.63545,0.95807,0.00120669,0.00120669,0.00120669
9,152.394,0.84237,1.1537,0.90994,0.8884,0.94914,0.98208,0.75533,0.89637,1.38122,0.95298,0.0012005,0.0012005,0.0012005
10,169.487,0.81734,1.11419,0.89894,0.87684,0.942,0.99375,0.77875,0.82781,1.15908,0.94384,0.00119431,0.00119431,0.00119431
11,188.213,0.83558,1.16835,0.91671,0.92056,0.93571,0.94721,0.76623,0.75196,1.1309,0.94078,0.00118812,0.00118812,0.00118812
12,208.286,0.83082,1.0896,0.9035,0.91911,0.95462,0.98462,0.78138,0.80664,1.11668,0.93443,0.00118194,0.00118194,0.00118194
13,229.572,0.83118,1.0464,0.90188,0.96616,0.97619,0.99261,0.79025,0.82617,1.02543,0.97224,0.00117575,0.00117575,0.00117575
14,251.974,0.79775,0.93797,0.90099,0.96889,0.99504,0.99129,0.80269,0.79311,0.95329,0.92807,0.00116956,0.00116956,0.00116956
15,279.711,0.81977,0.90375,0.91397,0.93327,0.92456,0.98062,0.75272,0.8569,1.02744,0.95752,0.00116337,0.00116337,0.00116337
16,308.403,0.79331,0.86355,0.89593,0.98436,0.96727,0.9701,0.77311,0.83838,0.87304,0.93853,0.00115719,0.00115719,0.00115719
17,337.396,0.76848,0.83674,0.88416,0.97037,0.83857,0.84049,0.65826,0.82706,0.77959,0.94842,0.001151,0.001151,0.001151
18,368.045,0.77117,0.81209,0.88245,0.96552,0.79345,0.7919,0.65092,0.75644,0.8099,0.92461,0.00114481,0.00114481,0.00114481
19,394.135,0.76094,0.78248,0.87675,0.93196,0.97002,0.97914,0.75244,0.87778,0.89355,0.95642,0.00113863,0.00113863,0.00113863
20,416.427,0.77556,0.7574,0.89671,0.98767,0.94972,0.97619,0.79491,0.71585,0.78652,0.90624,0.00113244,0.00113244,0.00113244
21,437.842,0.7772,0.75349,0.89884,0.9554,0.94514,0.95501,0.76459,0.82819,0.87636,0.94502,0.00112625,0.00112625,0.00112625
22,457.633,0.72094,0.71668,0.89382,0.94978,0.92922,0.95004,0.78648,0.73754,0.77458,0.91357,0.00112006,0.00112006,0.00112006
23,477.948,0.7657,0.7372,0.89008,0.95273,0.97283,0.97723,0.79414,0.73469,0.70295,0.91016,0.00111388,0.00111388,0.00111388
24,498.701,0.7148,0.65688,0.87944,0.96157,0.97619,0.98625,0.79805,0.7746,0.68986,0.91866,0.00110769,0.00110769,0.00110769
25,518.916,0.754,0.66923,0.8695,0.90354,0.8896,0.97908,0.7117,1.01633,0.99686,0.98498,0.0011015,0.0011015,0.0011015
26,542.491,0.74619,0.6271,0.87405,0.98491,0.9277,0.98445,0.79512,0.81434,0.79732,0.9338,0.00109531,0.00109531,0.00109531
27,566.273,0.73408,0.66408,0.8904,0.99012,0.9881,0.98698,0.81131,0.75651,0.66203,0.9189,0.00108913,0.00108913,0.00108913
28,592.216,0.71106,0.61736,0.8754,0.95347,0.93935,0.96807,0.76788,0.80688,0.75473,0.9436,0.00108294,0.00108294,0.00108294
29,626.72,0.71698,0.62964,0.87571,0.99098,0.9881,0.98868,0.81222,0.76622,0.59532,0.9243,0.00107675,0.00107675,0.00107675
30,659.024,0.70328,0.60192,0.88083,0.97765,0.97351,0.98826,0.82967,0.66847,0.5784,0.88335,0.00107056,0.00107056,0.00107056
31,692.11,0.73081,0.62359,0.88077,0.99264,0.99016,0.995,0.83014,0.71179,0.56423,0.91585,0.00106437,0.00106437,0.00106437
32,725.684,0.69126,0.5941,0.87537,0.98989,0.98867,0.995,0.78671,0.82623,0.57794,0.93333,0.00105819,0.00105819,0.00105819
33,757.325,0.71784,0.57253,0.87462,0.98446,0.9881,0.99455,0.79566,0.79592,0.56711,0.9279,0.001052,0.001052,0.001052
34,788.402,0.67749,0.55904,0.8784,0.94587,0.98325,0.9847,0.788,0.80413,0.60196,0.92502,0.00104581,0.00104581,0.00104581
35,819.442,0.6789,0.55593,0.87068,0.93215,0.95238,0.96992,0.79287,0.81413,0.65939,0.94292,0.00103962,0.00103962,0.00103962
36,852.215,0.67599,0.53103,0.87438,0.98771,0.97855,0.99278,0.81395,0.79267,0.54913,0.94927,0.00103344,0.00103344,0.00103344
37,883.566,0.69895,0.54197,0.87101,0.99035,0.97897,0.9934,0.81661,0.7344,0.53935,0.91791,0.00102725,0.00102725,0.00102725
38,914.347,0.67508,0.53744,0.86563,0.9819,0.98421,0.991,0.78925,0.83315,0.5455,0.94825,0.00102106,0.00102106,0.00102106
39,945.877,0.65037,0.51177,0.86967,0.99011,0.9881,0.99156,0.80933,0.71644,0.52565,0.90545,0.00101488,0.00101488,0.00101488
40,977.586,0.67501,0.52946,0.87133,0.97238,0.96995,0.97195,0.74877,0.86384,0.5854,0.96536,0.00100869,0.00100869,0.00100869
41,1011.75,0.65361,0.51657,0.8632,0.98791,0.97448,0.9861,0.75427,0.9177,0.56093,0.97168,0.0010025,0.0010025,0.0010025
42,1046.91,0.65027,0.48869,0.85384,0.99221,0.96581,0.98815,0.82377,0.72478,0.48929,0.90855,0.000996313,0.000996313,0.000996313
43,1079.49,0.64722,0.52474,0.86826,0.97995,0.96429,0.98324,0.80476,0.77517,0.53163,0.92076,0.000990125,0.000990125,0.000990125
44,1113.09,0.63348,0.50456,0.85484,0.98622,0.97619,0.9914,0.82529,0.75929,0.49418,0.90977,0.000983938,0.000983938,0.000983938
45,1145.66,0.61828,0.48375,0.84539,0.99364,0.98543,0.99375,0.82297,0.71782,0.45736,0.90039,0.00097775,0.00097775,0.00097775
46,1175.73,0.6578,0.4991,0.85986,0.9912,0.97881,0.99375,0.79839,0.77424,0.49407,0.92114,0.000971562,0.000971562,0.000971562
47,1204.39,0.63502,0.48816,0.85016,0.97277,0.98578,0.9925,0.8242,0.71404,0.50124,0.89226,0.000965375,0.000965375,0.000965375
48,1236.36,0.63814,0.48147,0.86752,0.98246,0.97852,0.98841,0.80764,0.79202,0.50456,0.92892,0.000959187,0.000959187,0.000959187
49,1268.01,0.64815,0.47713,0.85926,0.97717,0.97792,0.98408,0.82191,0.71184,0.50431,0.89409,0.000953,0.000953,0.000953
50,1298.83,0.6127,0.47023,0.84875,0.93232,0.91676,0.94658,0.76126,0.79287,0.64037,0.92944,0.000946812,0.000946812,0.000946812
51,1319.86,0.66548,0.48707,0.85438,0.94838,0.97619,0.98383,0.80209,0.76692,0.50588,0.91816,0.000940625,0.000940625,0.000940625
